SGBD,Modelo,Experimento,N_Execucao,Tempo_Total_ms,Tempo_Servidor_ms,Armazenamento_MB,PG_IO_Reads,PG_IO_Hits_Cache,SS_IO_Logical_Reads,SS_IO_Physical_Reads,SF_Scanned_MB
PostgreSQL,Desnormalizado,E1,1,315.730,212.637,410.797,0,224702,,,
PostgreSQL,Desnormalizado,E1,2,347.254,209.471,410.797,0,222461,,,
PostgreSQL,Desnormalizado,E1,3,318.810,196.921,410.797,0,223100,,,
PostgreSQL,Desnormalizado,E1,4,265.934,293.864,410.797,0,224749,,,
PostgreSQL,Desnormalizado,E1,5,319.480,214.974,410.797,0,226074,,,
PostgreSQL,Desnormalizado,E1,6,295.034,193.770,410.797,0,227011,,,
PostgreSQL,Desnormalizado,E1,7,275.602,331.116,410.797,0,229816,,,
PostgreSQL,Desnormalizado,E1,8,322.630,228.848,410.797,0,230279,,,
PostgreSQL,Desnormalizado,E1,9,348.150,250.972,410.797,0,231919,,,
PostgreSQL,Desnormalizado,E1,10,283.537,197.820,410.797,0,233218,,,
