SGBD,Modelo,Experimento,N_Execucao,Tempo_Total_ms,Tempo_Servidor_ms,Armazenamento_MB,PG_IO_Reads,PG_IO_Hits_Cache,SS_IO_Logical_Reads,SS_IO_Physical_Reads,SF_Scanned_MB
PostgreSQL,Normalizado,E1,1,5933.032,5078.472,393.852,0,35960,,,
PostgreSQL,Normalizado,E1,2,6530.028,6155.484,393.852,0,37841,,,
PostgreSQL,Normalizado,E1,3,5195.119,6322.560,393.852,0,39641,,,
PostgreSQL,Normalizado,E1,4,4802.751,1510.966,393.852,0,41414,,,
PostgreSQL,Normalizado,E1,5,5456.143,5589.446,393.852,0,43223,,,
PostgreSQL,Normalizado,E1,6,5943.235,4622.110,393.852,0,44969,,,
PostgreSQL,Normalizado,E1,7,5821.644,5910.041,393.852,0,46733,,,
PostgreSQL,Normalizado,E1,8,5006.868,5424.409,393.852,0,48479,,,
PostgreSQL,Normalizado,E1,9,2481.949,2670.984,393.852,0,50207,,,
PostgreSQL,Normalizado,E1,10,616.009,9134.102,393.852,0,51935,,,
