SGBD,Modelo,Experimento,N_Execucao,Tempo_Total_ms,Tempo_Servidor_ms,Armazenamento_MB,PG_IO_Reads,PG_IO_Hits_Cache,SS_IO_Logical_Reads,SS_IO_Physical_Reads,SF_Scanned_MB
SQL Server,Desnormalizado,E1,1,152.429,,554.266,,,,,
SQL Server,Desnormalizado,E1,2,146.605,,554.266,,,,,
SQL Server,Desnormalizado,E1,3,150.045,,554.266,,,,,
SQL Server,Desnormalizado,E1,4,147.019,,554.266,,,,,
SQL Server,Desnormalizado,E1,5,141.938,,554.266,,,,,
SQL Server,Desnormalizado,E1,6,145.165,,554.266,,,,,
SQL Server,Desnormalizado,E1,7,150.042,,554.266,,,,,
SQL Server,Desnormalizado,E1,8,153.106,,554.266,,,,,
SQL Server,Desnormalizado,E1,9,147.450,,554.266,,,,,
SQL Server,Desnormalizado,E1,10,152.399,,554.266,,,,,
