SGBD,Modelo,Experimento,N_Execucao,Tempo_Total_ms,Tempo_Servidor_ms,Armazenamento_MB,PG_IO_Reads,PG_IO_Hits_Cache,SS_IO_Logical_Reads,SS_IO_Physical_Reads,SF_Scanned_MB
Snowflake,Normalizado,E1,1,428.945,,322.224,,,,,
Snowflake,Normalizado,E1,2,419.400,,322.224,,,,,
Snowflake,Normalizado,E1,3,293.667,,322.224,,,,,
Snowflake,Normalizado,E1,4,329.977,,322.224,,,,,
Snowflake,Normalizado,E1,5,288.542,,322.224,,,,,
Snowflake,Normalizado,E1,6,286.741,,322.224,,,,,
Snowflake,Normalizado,E1,7,333.794,,322.224,,,,,
Snowflake,Normalizado,E1,8,348.369,,322.224,,,,,
Snowflake,Normalizado,E1,9,290.488,,322.224,,,,,
Snowflake,Normalizado,E1,10,287.883,,322.224,,,,,
